,date,1. open,2. high,3. low,4. close,5. volume
469,2020-02-06 15:55:00,324.74,325.01,324.5,324.92,484597.0
170,2020-02-12 14:50:00,324.9902,325.45,324.9902,325.3724,213013.0
638,2020-02-04 14:50:00,319.22,319.33,318.82,318.875,617789.0
1013,2020-01-29 09:35:00,324.5121,327.5566,324.2035,324.8646,6076811.0
778,2020-02-03 09:40:00,306.7332,309.0118,306.7332,308.9,2149075.0
1098,2020-01-27 15:30:00,309.28,309.47,309.02,309.2135,281631.0
23,2020-02-14 14:05:00,324.08099999999996,324.47,324.0397,324.4323,140154.0
1036,2020-01-28 14:10:00,317.0449,317.1999,316.97,317.138,200562.0
1034,2020-01-28 14:20:00,317.44,317.6,317.21,317.505,294062.0
143,2020-02-13 10:35:00,324.0003,324.5581,323.9618,324.1503,353826.0
417,2020-02-07 13:45:00,321.6972,321.89,321.55,321.7827,199697.0
475,2020-02-06 15:25:00,324.54,324.55,323.92,324.06,325762.0
912,2020-01-30 11:30:00,321.47,321.6488,321.26,321.5,308561.0
660,2020-02-04 13:00:00,318.22,318.56,318.09,318.35,194079.0
166,2020-02-12 15:10:00,325.37,325.427,325.335,325.3635,141308.0
962,2020-01-29 13:50:00,326.78,326.87,326.6,326.77,160754.0
856,2020-01-31 09:40:00,321.5263,321.77299999999997,320.8623,321.0213,680054.0
41,2020-02-14 12:35:00,324.5168,324.66,324.46,324.65,86638.0
295,2020-02-11 10:55:00,323.0801,323.0801,322.5,322.73,341351.0
992,2020-01-29 11:20:00,326.3146,326.87,326.21,326.5,716810.0
692,2020-02-04 10:20:00,314.465,315.39,314.36,315.37,382106.0
889,2020-01-30 13:25:00,319.45,319.65,319.31,319.5157,172545.0
834,2020-01-31 11:30:00,315.5428,315.89,315.27,315.52,408036.0
806,2020-01-31 13:50:00,310.1,311.89,310.05,311.7862,779395.0
288,2020-02-11 11:30:00,322.63,322.704,322.464,322.47,148180.0
237,2020-02-11 15:45:00,319.1472,319.66,319.04,319.385,389446.0
126,2020-02-13 12:00:00,324.94,325.26,324.93,324.99,183692.0
